msoa21,income
E02002483,50689
E02002484,32399
E02002485,38135
E02002489,34225
E02002490,37845
E02002491,38139
E02002492,41049
E02002493,50394
E02002494,33764
E02006909,52774
E02007059,42105
E02002496,33579
E02002497,33520
E02002498,29830
E02002499,37121
E02002500,45021
E02002501,41313
E02002502,33569
E02002503,43272
E02002504,49001
E02002505,36110
E02002506,36362
E02002507,57525
E02002508,50247
E02002509,43997
E02002510,50212
E02002512,58461
E02002513,43456
E02002514,42668
E02006811,59175
E02002515,33036
E02002516,43500
E02002517,38359
E02002518,52278
E02002519,37951
E02002520,46793
E02002521,43053
E02002523,34602
E02002524,43132
E02002525,37669
E02002526,45855
E02002527,37043
E02002529,46308
E02002530,38063
E02002532,41830
E02002533,57639
E02002534,57005
E02006812,41644
E02006910,41313
E02002535,53427
E02002536,43518
E02002537,40087
E02002538,44318
E02002539,62688
E02002540,56650
E02002541,44122
E02002542,37791
E02002543,44341
E02002544,36950
E02002545,44404
E02002546,43691
E02002547,50238
E02002549,51384
E02002550,51631
E02002551,36355
E02002552,44272
E02002553,44803
E02002554,34479
E02002555,57710
E02002556,61911
E02002558,61527
E02007060,35247
E02007061,44373
E02007062,70215
E02007063,78107
E02002559,61793
E02002560,48585
E02002561,47178
E02002562,36264
E02002563,38160
E02002564,43519
E02002567,41273
E02002568,56831
E02002569,53897
E02002570,35968
E02002571,39583
E02002572,44350
E02002573,55492
E02007058,40072
E02004290,52619
E02004291,40641
E02004292,50220
E02004293,37554
E02004294,53884
E02004295,50043
E02004296,42973
E02004297,47712
E02004298,50708
E02004299,41622
E02004300,36967
E02004301,37685
E02004302,36750
E02004303,39182
E02004304,40388
E02004305,44902
E02004306,48649
E02004307,42858
E02004308,56300
E02004309,48683
E02004310,45630
E02004311,42783
E02004312,50604
E02004313,37322
E02004314,52401
E02004315,69424
E02004316,41601
E02004317,38396
E02004318,47723
E02004319,42170
E02004320,47505
E02004321,38341
E02004322,34388
E02004323,42739
E02004324,41883
E02004325,34528
E02004326,38308
E02004327,29696
E02004328,38652
E02004329,43524
E02004330,35150
E02004331,37848
E02004332,40969
E02004333,42553
E02004334,38952
E02004335,39437
E02004336,31483
E02004337,43498
E02004338,37821
E02004339,53536
E02004340,35272
E02004341,51502
E02004342,36532
E02004343,37196
E02004344,39440
E02004345,41400
E02004348,42936
E02004349,38085
E02004350,39166
E02004351,34152
E02004352,38186
E02004353,43413
E02004354,43885
E02004355,33191
E02007022,44041
E02005702,52296
E02005703,43351
E02005704,46161
E02005705,49732
E02005706,37549
E02005707,43982
E02005708,39346
E02005709,34831
E02005710,39867
E02005711,35425
E02005712,50630
E02005713,50547
E02005715,43745
E02005717,43796
E02005718,46700
E02005719,43925
E02005720,41423
E02005721,50617
E02005722,59073
E02005723,42417
E02005724,69431
E02005725,63556
E02005726,66966
E02005727,44258
E02005728,41979
E02005729,57298
E02005730,48992
E02005731,45546
E02005733,48051
E02005734,35113
E02005735,36329
E02005736,42301
E02005739,40704
E02005740,36002
E02005741,48191
E02007105,45710
E02007106,57344
E02007107,54611
E02001709,68594
E02001710,40840
E02001711,42316
E02001712,62908
E02001713,66466
E02001714,66545
E02001715,43988
E02001718,39133
E02001719,54817
E02001720,63024
E02001721,40498
E02001722,42230
E02001723,43856
E02001724,56611
E02001725,42321
E02001726,42718
E02001727,41541
E02001728,42131
E02001729,44116
E02001732,42029
E02001734,37859
E02001735,32621
E02001737,33661
E02006893,44691
E02007095,58070
E02007096,55939
