msoa21,population
E02002483,10239
E02002484,10278
E02002485,8001
E02002489,7125
E02002490,5805
E02002491,6473
E02002492,6774
E02002493,6751
E02002494,7673
E02006909,12688
E02007059,10532
E02002496,11864
E02002497,6112
E02002498,8505
E02002499,7680
E02002500,5907
E02002501,6266
E02002502,9792
E02002503,6835
E02002504,9756
E02002505,6386
E02002506,5600
E02002507,6236
E02002508,5429
E02002509,5143
E02002510,7092
E02002512,5337
E02002513,10236
E02002514,8340
E02006811,11410
E02002515,6473
E02002516,5870
E02002517,5315
E02002518,10877
E02002519,7473
E02002520,13088
E02002521,5874
E02002523,6388
E02002524,5398
E02002525,7971
E02002526,7707
E02002527,5086
E02002529,5740
E02002530,6180
E02002532,6735
E02002533,6565
E02002534,5574
E02006812,7603
E02006910,10612
E02002535,9165
E02002536,9328
E02002537,8365
E02002538,5637
E02002539,10538
E02002540,6066
E02002541,6014
E02002542,8024
E02002543,9246
E02002544,8919
E02002545,5032
E02002546,7453
E02002547,6090
E02002549,7454
E02002550,6046
E02002551,5364
E02002552,7147
E02002553,5798
E02002554,5042
E02002555,10308
E02002556,7267
E02002558,11015
E02007060,6102
E02007061,8369
E02007062,7670
E02007063,9135
E02002559,9657
E02002560,6240
E02002561,5422
E02002562,5619
E02002563,5549
E02002564,9733
E02002567,9403
E02002568,6033
E02002569,9145
E02002570,7506
E02002571,6354
E02002572,6286
E02002573,9369
E02007058,11484
E02004290,5722
E02004291,7120
E02004292,7960
E02004293,9614
E02004294,7899
E02004295,7274
E02004296,8425
E02004297,7937
E02004298,9956
E02004299,8191
E02004300,7683
E02004301,9599
E02004302,7827
E02004303,11018
E02004304,9004
E02004305,10187
E02004306,5993
E02004307,6454
E02004308,7722
E02004309,6194
E02004310,7826
E02004311,9129
E02004312,7425
E02004313,6746
E02004314,12666
E02004315,13300
E02004316,6479
E02004317,7318
E02004318,6584
E02004319,7962
E02004320,8557
E02004321,8166
E02004322,8659
E02004323,7383
E02004324,5762
E02004325,9012
E02004326,6766
E02004327,5549
E02004328,7228
E02004329,6456
E02004330,5944
E02004331,7186
E02004332,7362
E02004333,6690
E02004334,7001
E02004335,7886
E02004336,6713
E02004337,10501
E02004338,7323
E02004339,7029
E02004340,10420
E02004341,8715
E02004342,5606
E02004343,5536
E02004344,6972
E02004345,12569
E02004348,7828
E02004349,9361
E02004350,9778
E02004351,7235
E02004352,8180
E02004353,7205
E02004354,9086
E02004355,7039
E02007022,12145
E02005702,6694
E02005703,6804
E02005704,12641
E02005705,7598
E02005706,9194
E02005707,7032
E02005708,10021
E02005709,6850
E02005710,9379
E02005711,7822
E02005712,9406
E02005713,6272
E02005715,9260
E02005717,7374
E02005718,6268
E02005719,8155
E02005720,12139
E02005721,5447
E02005722,9474
E02005723,6030
E02005724,6633
E02005725,7021
E02005726,7923
E02005727,6065
E02005728,6718
E02005729,5578
E02005730,12643
E02005731,10735
E02005733,8278
E02005734,5950
E02005735,7142
E02005736,8709
E02005739,9005
E02005740,10092
E02005741,8477
E02007105,12429
E02007106,14549
E02007107,8759
E02001709,10345
E02001710,10103
E02001711,9892
E02001712,9336
E02001713,10047
E02001714,9695
E02001715,11802
E02001718,6621
E02001719,8577
E02001720,9505
E02001721,10746
E02001722,9480
E02001723,7173
E02001724,8972
E02001725,9175
E02001726,11810
E02001727,8745
E02001728,9451
E02001729,12297
E02001732,5688
E02001734,8173
E02001735,6620
E02001737,6187
E02006893,10853
E02007095,9934
E02007096,5929
E02007097,8666
E02007098,6507
E02007099,10250
E02007100,8418
E02007101,9609
E02007102,7531
E02007103,6458
E02007104,5536
E02001738,6164
E02001739,7266
E02001740,5913
E02001741,7724
E02001742,5773
E02001743,7574
E02001744,8172
E02001745,6694
E02001746,8186
E02001747,6232
E02001748,8661
E02001749,6367
E02001750,6791
E02001751,6664
E02001752,6404
E02001753,6153
E02001754,5782
E02001755,9896
E02001756,9306
E02001757,5839
E02001758,5603
E02001759,6137
E02001760,7745
E02001761,5514
E02001762,6753
E02001763,6408
E02001764,7563
E02001765,7643
E02001766,7175
E02001767,6864
E02001768,8078
E02001769,7419
E02001770,5951
E02001771,6194
E02001772,5025
E02001773,5244
E02001774,5237
