ward,population
E05013038,7631
E05013039,8055
E05013040,6380
E05013041,8155
E05013042,7644
E05013043,8134
E05013044,8542
E05013045,7515
E05013046,7348
E05013047,7194
E05013048,8253
E05013049,7488
E05009853,5898
E05009854,6309
E05009855,9065
E05009856,9314
E05009857,11490
E05009858,8340
E05009859,6567
E05009860,4813
E05009861,5513
E05009862,6709
E05009863,11232
E05009864,6070
E05009865,5337
E05009866,10773
E05009867,3264
E05009868,5336
E05009869,9587
E05009870,8329
E05009871,3668
E05009872,6305
E05012437,4528
E05012438,6843
E05012439,4844
E05012440,4648
E05012441,7421
E05012442,6388
E05012443,7642
E05012444,6704
E05012445,7565
E05012446,2330
E05012447,6367
E05012448,3976
E05012449,5146
E05012450,6609
E05012451,6462
E05012452,6594
E05012453,6440
E05012454,4383
E05012455,4448
E05012456,5433
E05012457,6004
E05012458,5950
E05012459,5440
E05012460,4367
E05001527,7118
E05001528,6804
E05001529,8591
E05001530,6294
E05001531,5110
E05001532,6261
E05001533,10834
E05001534,5430
E05001535,6528
E05001536,7926
E05001537,6346
E05001538,10647
E05001539,13425
E05001540,10507
E05001541,7114
E05001542,4956
E05001543,6494
E05001544,7741
E05001545,6066
E05001546,9722
E05001547,7206
E05001548,6072
E05001549,7983
E05001550,6771
E05001551,3634
E05001552,11015
E05010412,7103
E05010413,6831
E05010414,6325
E05010415,4284
E05010416,6354
E05010417,6471
E05010418,6311
E05010419,4755
E05010420,3701
E05010421,3689
E05010422,3817
E05010423,6213
E05010424,4145
E05010425,7588
E05010426,4262
E05010427,5843
E05010428,4673
E05010429,6761
E05010430,4839
E05010431,3837
E05009030,8078
E05009031,8318
E05009032,10757
E05009033,7755
E05009034,8357
E05009035,8296
E05009036,13624
E05009037,8170
E05009038,7893
E05009039,3684
E05009040,7874
E05009041,10266
E05009042,7920
E05009043,3450
E05009044,3789
E05009045,7268
E05009046,7905
E05009047,4695
E05009048,7872
E05009049,5484
E05009050,4352
E05009051,13050
E05009052,8500
E05009053,12334
E05009054,8721
E05009055,12836
E05009056,8358
E05009057,6964
E05009058,1497
E05009059,7641
E05009060,9548
E05009061,7921
E05009062,8061
E05009063,11046
E05009064,13917
E05009065,7203
E05009066,7636
E05009067,8638
E05009068,7274
E05009069,7616
E05009070,13625
E05009071,3905
E05009072,4538
E05009073,12842
E05009074,7717
E05009075,8073
E05009076,7581
E05009077,6586
E05009078,8157
E05009079,8490
E05009080,13497
E05009081,9328
E05009082,11415
E05009083,8746
E05009084,7993
E05009085,4642
E05009086,12757
E05009087,9533
E05009088,7828
E05009089,8787
E05009090,8955
E05009091,4266
E05009092,8238
E05009093,10322
E05009094,5082
E05009095,4093
E05009096,4710
E05009097,4189
E05009098,5105
E05009099,4563
E05009100,4611
E05009101,3761
E05009102,4715
E05009103,4331
E05009104,4242
E05009106,4450
E05009107,4570
E05009108,4758
E05009109,4014
E05009110,4161
E05009111,4313
E05009112,5106
E05009113,4791
E05009114,4456
E05009115,4346
E05009116,7065
E05009117,4580
E05009118,6746
E05009119,4650
E05009120,4722
E05009121,4214
E05009122,4443
E05009123,4464
E05009124,4312
E05009125,3868
E05009126,5100
E05009127,4854
E05009128,4141
E05009129,4491
E05009130,7346
E05009131,4506
E05009132,4325
E05009133,4440
E05009134,5343
E05009135,4608
E05009136,4817
E05009137,4433
E05009139,4131
E05009141,3721
E05009142,4942
E05009143,5333
E05009144,4132
E05009145,4309
E05009146,5038
E05009147,5697
E05009148,4868
E05009149,6111
E05009151,5411
E05009152,4290
E05009153,4683
E05009154,4720
E05009155,4435
E05009156,4784
E05009157,5365
E05009158,4347
E05013270,5384
E05013271,5952
E05013862,4904
E05013863,5855
E05011436,13276
E05011437,13000
E05011438,11468
E05011439,12034
E05011440,10509
E05011441,14201
E05011442,9331
E05011443,9653
E05011444,12385
E05011445,16123
E05011446,9910
E05011447,10541
E05011448,10593
E05011449,11528
E05011450,10750
E05011451,10207
E05011452,9442
E05011453,13620
E05011454,10578
E05011455,12644
E05011456,11763
E05011457,9786
E05011458,11825
E05011459,12407
E05011460,10876
E05011461,11670
E05001115,10850
E05001116,10264
E05001117,10502
E05001118,11700
E05001119,11289
E05001120,9355
E05001121,11175
E05001122,11807
E05001123,11373
E05001124,9006
E05001125,9627
E05001126,9349
E05001127,8008
E05001128,11953
E05001129,8882
E05001130,10256
E05001131,13839
E05001132,10398
E05001133,9970
E05001134,9363
E05001135,8796
E05001136,7526
E05001137,9024
E05001138,9090
E05001139,8376
E05001140,7613
E05001141,7341
E05001142,8187
E05001143,9464
E05001144,9451
E05001145,8594
E05001146,8408
